Country Name,Country Code,Indicator Name,Indicator Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,5.0746125,5.254258333,5.510133333,5.812408333,6.183541667,6.606916667,7.17,7.659166667,7.936266667,8.0660625,8.011616667,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Brazil,BRA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.0051,1.077991667,1.160516667,1.813932847,1.829423122,2.349631709,2.920363018,3.077475118,2.92511945,2.434390036,2.175326667,1.947058333,1.833766667,1.999428173,1.759226711,1.672828755,1.953068611,2.156089151,2.352951963,3.326904383,3.491313422,3.191389446,3.653825361,3.944471097,5.155178788,5.39440079,5.163970291,4.994379763
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,BRN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.410040833,1.484805833,1.673601667,1.694956667,1.723963333,1.7917225,1.790588333,1.742183333,1.690228333,1.6643975,1.588933333,1.507101667,1.417166667,1.454569273,1.363509474,1.25791302,1.249567016,1.25116567,1.267040123,1.374910845,1.381346877,1.380891164,1.348918565,1.364218514,1.37970343,1.343806963,1.378956397,1.343079601
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,35.43317333,36.31328583,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865,68.38946709,70.42034054,74.09956688,73.91801282,78.60449058,82.60099645
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.324196667,3.650763333,4.22588,4.62439525,5.102241667,5.841416667,6.327791667,4.949666667,4.693833333,5.11675,5.8303,6.139408333,6.826858333,7.155141667,6.793625,6.838233333,7.640525,8.398908333,8.976083333,10.12899167,10.90115833,10.34741667,10.199975,10.75586667,11.45624167,11.08725833,12.36880833,13.59638333
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
Canada,CAN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.363521636,1.384598028,1.483505302,1.485704819,1.485394095,1.548839955,1.570342834,1.401014548,1.301281595,1.211405134,1.134344726,1.074045622,1.067086918,1.141535406,1.030112735,0.989258159,0.999364744,1.030137364,1.104747132,1.278786204,1.325615164,1.297935846,1.295817928,1.326793363,1.341152672,1.253876902,1.301554775,1.349908641
Central Europe and the Baltics,CEB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.23601,1.4513125,1.449813308,1.502155,1.6888425,1.687615,1.5586075,1.346650833,1.243495833,1.245176667,1.253843333,1.200365833,1.08309,1.088141696,1.042905646,0.888042028,0.937684481,0.926903548,0.916151047,0.962381328,0.985394394,0.984691667,0.977891667,0.993709167,0.938965,0.913845833,0.9548325,0.89849
Channel Islands,CHI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,412.2666667,419.295,460.2875,508.7766667,539.5875,634.9383333,688.9366667,691.3975,609.5291667,559.7675,530.275,522.4641667,522.4610358,560.8598948,510.2491667,483.6675,486.4713034,495.2728776,570.3482161,654.1240843,676.957736,648.8337926,641.2768131,702.8974226,792.7272061,758.9553787,873.3141895,840.0665267
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,8.314175,8.289816667,8.278958333,8.27825,8.278504167,8.277068333,8.2769575,8.277036667,8.276800833,8.194316667,7.973438333,7.6075325,6.948655,6.831416052,6.770269029,6.461461327,6.312332827,6.195758346,6.143434094,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501,6.900767269,6.44897518,6.737158112,7.083998423
Cote d'Ivoire,CIV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
"Congo, Dem. Rep.",COD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.501849175,1.3134476,1.606659883,4.018333332,21.81833333,206.6174999,346.4849999,405.1781832,399.4757917,473.9080083,468.278825,516.7498917,559.2925083,809.7858333,905.9134583,919.4913,919.7550167,919.5659074,925.2262825,925.9849613,1010.302757,1464.417932,1622.523502,1647.760127,1851.122162,1989.391471,,
"Congo, Rep.",COG,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,511.5524303,583.6693724,589.9517746,615.4733493,710.207977,732.3976933,693.7132265,579.8974262,527.3380323,527.2583626,522.4256249,478.6337185,446.0000414,470.2934233,494.7942622,471.2486257,510.5563385,493.8996239,493.7573299,591.211698,592.6056151,580.6567496,555.4464584,585.9110132,575.5860045,554.530675,623.7597009,606.5697502
Colombia,COL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1036.6225,1141.116667,1426.424167,1756.685833,2087.918333,2299.893333,2504.680833,2877.543333,2628.368333,2321.131667,2358.594605,2077.810958,1965.1375,2157.598333,1898.9975,1848.016667,1798.011667,1868.895,2001.105,2741.781667,3055.255,2951.486911,2955.70397,3281.622194,3693.275833,3744.244167,4256.194167,4325.955
Comoros,COM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,383.6599915,437.7470875,442.4588359,461.7929985,532.6559828,549.2982699,520.2849199,434.9230696,395.5035242,395.443772,391.8192187,358.9752889,334.5000311,352.7200675,371.0956967,353.4364693,382.9172538,370.4247179,370.3179974,443.4087735,444.4542113,435.4925622,416.5848438,439.4631103,430.7209122,415.9558491,467.1842612,454.9912367
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,82.59146667,93.17666667,98.1575,102.7,115.8765516,123.2133333,117.2558333,97.7875,88.7479249,88.64616853,87.92606491,80.61502716,75.33600384,80.03541773,83.27868938,79.27688148,86.31895418,83.0725,83.0345,99.38569354,99.68811364,97.80693777,93.41357891,98.49517859,96.79574279,93.21809241,104.8630658,101.8048125
Costa Rica,CRI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,207.6891667,232.5975,257.2291667,285.6846948,308.1866667,328.8708333,359.8175269,398.6622222,437.935,477.7867415,511.3018179,516.6173902,526.2355134,573.2879567,525.8292007,505.6642399,502.901462,499.7668326,538.3172003,534.56577,544.7393672,567.5130903,576.9725012,587.2945957,584.900855,620.78472,647.1358176,544.0507755
Caribbean small states,CSS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
