Date;Group;Series;Value
20/01/2016;Riksbank key interest rates;Policy rate;-0,35
21/01/2016;Riksbank key interest rates;Policy rate;-0,35
22/01/2016;Riksbank key interest rates;Policy rate;-0,35
25/01/2016;Riksbank key interest rates;Policy rate;-0,35
26/01/2016;Riksbank key interest rates;Policy rate;-0,35
27/01/2016;Riksbank key interest rates;Policy rate;-0,35
28/01/2016;Riksbank key interest rates;Policy rate;-0,35
29/01/2016;Riksbank key interest rates;Policy rate;-0,35
01/02/2016;Riksbank key interest rates;Policy rate;-0,35
02/02/2016;Riksbank key interest rates;Policy rate;-0,35
03/02/2016;Riksbank key interest rates;Policy rate;-0,35
04/02/2016;Riksbank key interest rates;Policy rate;-0,35
05/02/2016;Riksbank key interest rates;Policy rate;-0,35
08/02/2016;Riksbank key interest rates;Policy rate;-0,35
09/02/2016;Riksbank key interest rates;Policy rate;-0,35
10/02/2016;Riksbank key interest rates;Policy rate;-0,35
11/02/2016;Riksbank key interest rates;Policy rate;-0,35
12/02/2016;Riksbank key interest rates;Policy rate;-0,35
15/02/2016;Riksbank key interest rates;Policy rate;-0,35
16/02/2016;Riksbank key interest rates;Policy rate;-0,35
17/02/2016;Riksbank key interest rates;Policy rate;-0,50
18/02/2016;Riksbank key interest rates;Policy rate;-0,50
19/02/2016;Riksbank key interest rates;Policy rate;-0,50
22/02/2016;Riksbank key interest rates;Policy rate;-0,50
23/02/2016;Riksbank key interest rates;Policy rate;-0,50
24/02/2016;Riksbank key interest rates;Policy rate;-0,50
25/02/2016;Riksbank key interest rates;Policy rate;-0,50
26/02/2016;Riksbank key interest rates;Policy rate;-0,50
29/02/2016;Riksbank key interest rates;Policy rate;-0,50
01/03/2016;Riksbank key interest rates;Policy rate;-0,50
02/03/2016;Riksbank key interest rates;Policy rate;-0,50
03/03/2016;Riksbank key interest rates;Policy rate;-0,50
04/03/2016;Riksbank key interest rates;Policy rate;-0,50
07/03/2016;Riksbank key interest rates;Policy rate;-0,50
08/03/2016;Riksbank key interest rates;Policy rate;-0,50
09/03/2016;Riksbank key interest rates;Policy rate;-0,50
10/03/2016;Riksbank key interest rates;Policy rate;-0,50
11/03/2016;Riksbank key interest rates;Policy rate;-0,50
14/03/2016;Riksbank key interest rates;Policy rate;-0,50
15/03/2016;Riksbank key interest rates;Policy rate;-0,50
16/03/2016;Riksbank key interest rates;Policy rate;-0,50
17/03/2016;Riksbank key interest rates;Policy rate;-0,50
18/03/2016;Riksbank key interest rates;Policy rate;-0,50
21/03/2016;Riksbank key interest rates;Policy rate;-0,50
22/03/2016;Riksbank key interest rates;Policy rate;-0,50
23/03/2016;Riksbank key interest rates;Policy rate;-0,50
24/03/2016;Riksbank key interest rates;Policy rate;-0,50
